flopo_id	label	entity	old_filler	old_filler_label	new_filler	new_filler_label	word_scope	action
FLOPO:0015271	seed pink	PO_0009010	PATO:0000954	pink	FLOPO:0988000	pink	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015280	periderm red	PO_0005046	PATO:0000322	red	FLOPO:0988001	red	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015295	pappus purple	PO_0025393	PATO:0000951	purple	FLOPO:0988008	purple	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015308	stipule purple	PO_0020041	PATO:0000951	purple	FLOPO:0988008	purple	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015327	locule light brown	PO_0025263	PATO:0001246	light brown	FLOPO:0988082	light brown	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015333	seed dark red	PO_0009010	PATO:0001261	dark red	FLOPO:0988042	dark red	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015340	fruit ochre	PO_0009001	PATO:0001945	ochre	FLOPO:0988004	yellow	RELATED	keep ID; replace EquivalentTo by SubClassOf(has_part some (E and has_quality some TARGET)); keep old PATO filler until PATO obsoletes it
FLOPO:0015356	fruit dark red brown	PO_0009001	PATO:0001288	dark red brown	FLOPO:0988070	dark reddish brown	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015372	flower dark red	PO_0009046	PATO:0001261	dark red	FLOPO:0988042	dark red	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015377	stamen white	PO_0009029	PATO:0000323	white	FLOPO:0988009	white	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015397	perianth deep pink	PO_0009058	PATO:0001258	deep pink	FLOPO:0988032	deep pink	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015419	peristome maroon	PO_0030042	PATO:0001426	maroon	FLOPO:0988001	red	RELATED	keep ID; replace EquivalentTo by SubClassOf(has_part some (E and has_quality some TARGET)); keep old PATO filler until PATO obsoletes it
FLOPO:0015424	fruit red brown	PO_0009001	PATO:0001287	red brown	PATO:0001287	reddish brown	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015433	mesocarp black	PO_0009087	PATO:0000317	black	FLOPO:0988011	black	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015439	shoot internode purple	PO_0005005	PATO:0000951	purple	FLOPO:0988008	purple	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015440	shoot internode color	PO_0005005	PATO:0000014	color	PATO:0000014	color		keep (generic colour phenotype, filler PATO:0000014 unchanged)
FLOPO:0015447	testa light grey	PO_0020057	PATO:0001252	light grey	FLOPO:0988273	light gray	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015479	mesocarp yellow	PO_0009087	PATO:0000324	yellow	FLOPO:0988004	yellow	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015485	inflorescence magenta	PO_0009049	PATO:0000321	magenta	FLOPO:0988001	red	RELATED	keep ID; replace EquivalentTo by SubClassOf(has_part some (E and has_quality some TARGET)); keep old PATO filler until PATO obsoletes it
FLOPO:0015524	leaflet black	PO_0020049	PATO:0000317	black	FLOPO:0988011	black	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015531	heartwood yellow	PO_0004512	PATO:0000324	yellow	FLOPO:0988004	yellow	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015541	flower dark yellow	PO_0009046	PATO:0001263	dark yellow	FLOPO:0988112	dark yellow	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015542	valve black	PO_0025228	PATO:0000317	black	FLOPO:0988011	black	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015554	lamina dark purple	PO_0025060	PATO:0001259	dark purple	FLOPO:0988237	dark purple	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015555	placenta black	PO_0025078	PATO:0000317	black	FLOPO:0988011	black	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015561	crown root purple	PO_0000043	PATO:0000951	purple	FLOPO:0988008	purple	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015562	crown root color	PO_0000043	PATO:0000014	color	PATO:0000014	color		keep (generic colour phenotype, filler PATO:0000014 unchanged)
FLOPO:0015571	valve purple	PO_0025228	PATO:0000951	purple	FLOPO:0988008	purple	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015598	pappus green	PO_0025393	PATO:0000320	green	FLOPO:0988006	green	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015607	androecium yellow	PO_0009061	PATO:0000324	yellow	FLOPO:0988004	yellow	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015650	nectary purple	PO_0009035	PATO:0000951	purple	FLOPO:0988008	purple	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015655	lower glume white	PO_0006002	PATO:0000323	white	FLOPO:0988009	white	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015660	hypanthium dark red	PO_0009065	PATO:0001261	dark red	FLOPO:0988042	dark red	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015661	tubercle black	PO_0025352	PATO:0000317	black	FLOPO:0988011	black	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015662	inflorescence dark grey	PO_0009049	PATO:0001251	dark grey	FLOPO:0988275	dark gray	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015673	vascular bundle orange	PO_0005020	PATO:0000953	orange	FLOPO:0988002	orange	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015696	peduncle yellow	PO_0009053	PATO:0000324	yellow	FLOPO:0988004	yellow	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015714	pedicel black	PO_0009052	PATO:0000317	black	FLOPO:0988011	black	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015719	stereome green	PO_0030050	PATO:0000320	green	FLOPO:0988006	green	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015720	receptacle grey	PO_0009064	PATO:0000950	grey	FLOPO:0988010	gray	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015721	branch red	PO_0025073	PATO:0000322	red	FLOPO:0988001	red	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015729	exocarp light brown	PO_0009085	PATO:0001246	light brown	FLOPO:0988082	light brown	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015730	tubercle purple	PO_0025352	PATO:0000951	purple	FLOPO:0988008	purple	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015732	aril dark red	PO_0009090	PATO:0001261	dark red	FLOPO:0988042	dark red	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015753	nectary green	PO_0009035	PATO:0000320	green	FLOPO:0988006	green	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015759	arilloid black	PO_0019022	PATO:0000317	black	FLOPO:0988011	black	EXACT	repoint filler in EquivalentTo axiom
