proposal_key	ontology_id	label	kind	iscc_nbs_level	iscc_nbs_number	status	canonical_key
ISCCNBS:L3_078	FLOPO:0988103	dark yellowish brown	backbone_class	3	78	new_flopo_local	ISCCNBS:L3_078
ISCCNBS:L3_079	FLOPO:0988104	light grayish yellowish brown	backbone_class	3	79	new_flopo_local	ISCCNBS:L3_079
ISCCNBS:L3_080	FLOPO:0988105	grayish yellowish brown	backbone_class	3	80	new_flopo_local	ISCCNBS:L3_080
ISCCNBS:L3_081	FLOPO:0988106	dark grayish yellowish brown	backbone_class	3	81	new_flopo_local	ISCCNBS:L3_081
ISCCNBS:L3_082	FLOPO:0988107	vivid yellow	backbone_class	3	82	new_flopo_local	ISCCNBS:L3_082
ISCCNBS:L3_083	FLOPO:0988108	brilliant yellow	backbone_class	3	83	new_flopo_local	ISCCNBS:L3_083
ISCCNBS:L3_084	FLOPO:0988109	strong yellow	backbone_class	3	84	new_flopo_local	ISCCNBS:L3_084
ISCCNBS:L3_085	PATO:0104005	deep yellow	backbone_class	3	85	existing_pato_reused	ISCCNBS:L3_085
ISCCNBS:L3_086	FLOPO:0988110	light yellow	backbone_class	3	86	new_flopo_local	ISCCNBS:L3_086
ISCCNBS:L3_087	FLOPO:0988111	moderate yellow	backbone_class	3	87	new_flopo_local	ISCCNBS:L3_087
ISCCNBS:L3_088	FLOPO:0988112	dark yellow	backbone_class	3	88	new_flopo_local	ISCCNBS:L3_088
ISCCNBS:L3_089	FLOPO:0988113	pale yellow	backbone_class	3	89	new_flopo_local	ISCCNBS:L3_089
ISCCNBS:L3_090	FLOPO:0988114	grayish yellow	backbone_class	3	90	new_flopo_local	ISCCNBS:L3_090
ISCCNBS:L3_091	FLOPO:0988115	dark grayish yellow	backbone_class	3	91	new_flopo_local	ISCCNBS:L3_091
ISCCNBS:L3_092	FLOPO:0988116	yellowish white	backbone_class	3	92	new_flopo_local	ISCCNBS:L3_092
ISCCNBS:L3_093	FLOPO:0988117	yellowish gray	backbone_class	3	93	new_flopo_local	ISCCNBS:L3_093
ISCCNBS:L3_094	FLOPO:0988118	light olive brown	backbone_class	3	94	new_flopo_local	ISCCNBS:L3_094
ISCCNBS:L3_095	FLOPO:0988119	moderate olive brown	backbone_class	3	95	new_flopo_local	ISCCNBS:L3_095
ISCCNBS:L3_096	FLOPO:0988120	dark olive brown	backbone_class	3	96	new_flopo_local	ISCCNBS:L3_096
ISCCNBS:L3_097	FLOPO:0988121	vivid greenish yellow	backbone_class	3	97	new_flopo_local	ISCCNBS:L3_097
ISCCNBS:L3_098	FLOPO:0988122	brilliant greenish yellow	backbone_class	3	98	new_flopo_local	ISCCNBS:L3_098
ISCCNBS:L3_099	FLOPO:0988123	strong greenish yellow	backbone_class	3	99	new_flopo_local	ISCCNBS:L3_099
ISCCNBS:L3_100	FLOPO:0988124	deep greenish yellow	backbone_class	3	100	new_flopo_local	ISCCNBS:L3_100
ISCCNBS:L3_101	FLOPO:0988125	light greenish yellow	backbone_class	3	101	new_flopo_local	ISCCNBS:L3_101
ISCCNBS:L3_102	FLOPO:0988126	moderate greenish yellow	backbone_class	3	102	new_flopo_local	ISCCNBS:L3_102
ISCCNBS:L3_103	FLOPO:0988127	dark greenish yellow	backbone_class	3	103	new_flopo_local	ISCCNBS:L3_103
ISCCNBS:L3_104	PATO:0104051	pale greenish yellow	backbone_class	3	104	existing_pato_reused	ISCCNBS:L3_104
ISCCNBS:L3_105	FLOPO:0988128	grayish greenish yellow	backbone_class	3	105	new_flopo_local	ISCCNBS:L3_105
ISCCNBS:L3_106	FLOPO:0988129	light olive	backbone_class	3	106	new_flopo_local	ISCCNBS:L3_106
ISCCNBS:L3_107	FLOPO:0988130	moderate olive	backbone_class	3	107	new_flopo_local	ISCCNBS:L3_107
ISCCNBS:L3_108	FLOPO:0988131	dark olive	backbone_class	3	108	new_flopo_local	ISCCNBS:L3_108
ISCCNBS:L3_109	FLOPO:0988132	light grayish olive	backbone_class	3	109	new_flopo_local	ISCCNBS:L3_109
ISCCNBS:L3_110	FLOPO:0988133	grayish olive	backbone_class	3	110	new_flopo_local	ISCCNBS:L3_110
ISCCNBS:L3_111	FLOPO:0988134	dark grayish olive	backbone_class	3	111	new_flopo_local	ISCCNBS:L3_111
ISCCNBS:L3_112	FLOPO:0988135	light olive gray	backbone_class	3	112	new_flopo_local	ISCCNBS:L3_112
ISCCNBS:L3_113	FLOPO:0988136	olive gray	backbone_class	3	113	new_flopo_local	ISCCNBS:L3_113
ISCCNBS:L3_114	FLOPO:0988137	olive black	backbone_class	3	114	new_flopo_local	ISCCNBS:L3_114
ISCCNBS:L3_115	FLOPO:0988138	vivid yellow green	backbone_class	3	115	new_flopo_local	ISCCNBS:L3_115
ISCCNBS:L3_116	FLOPO:0988139	brilliant yellow green	backbone_class	3	116	new_flopo_local	ISCCNBS:L3_116
ISCCNBS:L3_117	FLOPO:0988140	strong yellow green	backbone_class	3	117	new_flopo_local	ISCCNBS:L3_117
ISCCNBS:L3_118	FLOPO:0988141	deep yellow green	backbone_class	3	118	new_flopo_local	ISCCNBS:L3_118
ISCCNBS:L3_119	FLOPO:0988142	light yellow green	backbone_class	3	119	new_flopo_local	ISCCNBS:L3_119
ISCCNBS:L3_120	FLOPO:0988143	moderate yellow green	backbone_class	3	120	new_flopo_local	ISCCNBS:L3_120
ISCCNBS:L3_121	FLOPO:0988144	pale yellow green	backbone_class	3	121	new_flopo_local	ISCCNBS:L3_121
ISCCNBS:L3_122	FLOPO:0988145	grayish yellow green	backbone_class	3	122	new_flopo_local	ISCCNBS:L3_122
ISCCNBS:L3_123	FLOPO:0988146	strong olive green	backbone_class	3	123	new_flopo_local	ISCCNBS:L3_123
ISCCNBS:L3_124	FLOPO:0988147	deep olive green	backbone_class	3	124	new_flopo_local	ISCCNBS:L3_124
ISCCNBS:L3_125	FLOPO:0988148	moderate olive green	backbone_class	3	125	new_flopo_local	ISCCNBS:L3_125
ISCCNBS:L3_126	FLOPO:0988149	dark olive green	backbone_class	3	126	new_flopo_local	ISCCNBS:L3_126
ISCCNBS:L3_127	FLOPO:0988150	grayish olive green	backbone_class	3	127	new_flopo_local	ISCCNBS:L3_127
