id	label	synonyms	slim
PATO_0001266	desaturated blue	pale blue	value_slim
PATO_0001267	saturated brown	bright brown	value_slim
PATO_0001268	desaturated brown	pale brown	value_slim
PATO_0001269	saturated cyan	bright cyan 	value_slim
PATO_0001270	desaturated cyan	pale cyan	value_slim
PATO_0001271	saturated green	bright green	value_slim
PATO_0001272	desaturated green	pale green	value_slim
PATO_0001275	saturated magenta	bright magenta	value_slim
PATO_0001276	desaturated magenta	pale magenta	value_slim
PATO_0001277	saturated orange	bright orange	value_slim
PATO_0001278	desaturated orange	pale orange	value_slim
PATO_0001280	dark pale pink	bright pink 	mpath_slim|value_slim
PATO_0001281	saturated purple	bright purple	value_slim
PATO_0001282	desaturated purple	pale purple	value_slim
PATO_0001283	saturated red	bright red	mpath_slim|value_slim
PATO_0001284	desaturated red	pale red	value_slim
PATO_0001285	saturated yellow	bright yellow	value_slim
PATO_0001286	desaturated yellow	pale yellow	value_slim
PATO_0001287	red brown		mpath_slim|value_slim
PATO_0001288	dark red brown		mpath_slim|value_slim
PATO_0001289	light red brown		mpath_slim|value_slim
PATO_0001290	fluorescent		value_slim
PATO_0001291	electromagnetic (EM) radiation quality		attribute_slim
PATO_0001292	full-spectrum EM radiation quality		attribute_slim
PATO_0001293	absorption quality		attribute_slim
PATO_0001294	radiation reflective quality		attribute_slim
PATO_0001295	albedo		attribute_slim
PATO_0001296	luminous flux		attribute_slim
PATO_0001297	reflectivity		attribute_slim
PATO_0001298	phosphorescence		relational_slim
PATO_0001299	radiation emitting quality		attribute_slim
PATO_0001300	optical quality		attribute_slim
PATO_0001301	chromatic property		attribute_slim
PATO_0001302	vermilion		mpath_slim|value_slim
PATO_0001303	variability	variability of a physical quality	attribute_slim
PATO_0001304	variability of temperature		attribute_slim
PATO_0001305	increased temperature	high temperature|hot	value_slim
PATO_0001306	decreased temperature	cold|low temperature	value_slim
PATO_0001307	decreased variability of temperature	low variability of temperature	value_slim
PATO_0001308	increased variability of temperature	high variability of temperature	value_slim
PATO_0001309	duration quality of a process	period|time	attribute_slim
PATO_0001310	duration of temperature		attribute_slim
PATO_0001311	decreased duration of temperature		value_slim
PATO_0001312	increased duration of temperature	high duration of temperature	value_slim
PATO_0001313	invariant temperature		relational_slim
PATO_0001314	variant temperature		value_slim
PATO_0001315	mild increased temperature		value_slim
PATO_0001316	moderate increased temperature		value_slim
PATO_0001317	severe increased temperature		value_slim
PATO_0001318	indiscriminate		disposition_slim|relational_slim|value_slim
PATO_0001319	discriminate		disposition_slim|relational_slim|value_slim
PATO_0001320	pubescent hair		value_slim
PATO_0001321	right angle to		relational_slim|value_slim
PATO_0001322	straight angle to		relational_slim|value_slim
PATO_0001323	area		attribute_slim|mpath_slim|scalar_slim
PATO_0001324	bilateral symmetry	left-right symmetry	value_slim
PATO_0001325	radial symmetry		attribute_slim
PATO_0001327	zygomorphic		value_slim
PATO_0001328	actinomorphic		value_slim
PATO_0001329	flavourful		relational_slim|value_slim
PATO_0001330	flavourless		relational_slim|value_slim
PATO_0001331	odorous		value_slim
PATO_0001332	amorphous		mpath_slim|value_slim
PATO_0001333	temporally extended		value_slim
PATO_0001334	diameter		attribute_slim|mpath_slim|scalar_slim
PATO_0001335	bacterial mating type		attribute_slim
PATO_0001337	yeast mating type		attribute_slim
PATO_0001338	mixed sex		value_slim
PATO_0001339	biomaterial purity		attribute_slim|scalar_slim
PATO_0001340	hermaphrodite	intersex	value_slim
PATO_0001341	a mating type (yeast)	a	value_slim
PATO_0001342	Saccharomyces cerevisiae mating type		attribute_slim
PATO_0001343	Schizosaccharomyces pombe mating type		attribute_slim
PATO_0001344	alpha mating type (yeast)	alpha	value_slim
PATO_0001345	h minus	h -|M	value_slim
PATO_0001346	h plus	h+|P	value_slim
PATO_0001347	F mating type		value_slim
PATO_0001348	F minus mating type	F-	value_slim
PATO_0001349	high frequency recombinant	Hfr	value_slim
PATO_0001350	angular acceleration		attribute_slim|scalar_slim
PATO_0001351	area density		attribute_slim|scalar_slim
PATO_0001352	linear density		attribute_slim|scalar_slim
PATO_0001353	volumetric density		attribute_slim|scalar_slim
PATO_0001354	translucent		value_slim
PATO_0001355	convex		value_slim
PATO_0001356	pleomorphic		disposition_slim|mpath_slim|value_slim
PATO_0001357	pulvinate		mpath_slim|value_slim
PATO_0001358	umbonate		value_slim
PATO_0001359	rugose		mpath_slim|value_slim
PATO_0001360	filamentous		value_slim
PATO_0001361	warty		mpath_slim|value_slim
PATO_0001362	fragile		disposition_slim|value_slim
PATO_0001364	rhizoidal		value_slim
PATO_0001365	spiny		value_slim
PATO_0001366	punctiform		mpath_slim|value_slim
PATO_0001367	lobate		mpath_slim|value_slim
PATO_0001368	erose	jagged	value_slim
PATO_0001369	raised		mpath_slim|value_slim
PATO_0001370	viscid		value_slim
PATO_0001371	mucoid	mucinous|mucous	mpath_slim|value_slim
PATO_0001372	refractivity		attribute_slim|disposition_slim
PATO_0001373	glistening	glossy|shiny	value_slim
PATO_0001374	ploidy		attribute_slim
PATO_0001375	haploid		value_slim
PATO_0001376	monoploid		value_slim
PATO_0001377	polyploid		value_slim
PATO_0001378	autopolyploid		value_slim
PATO_0001379	allopolyploidy		value_slim
PATO_0001380	paleopolyploid		value_slim
PATO_0001381	triploid		value_slim
PATO_0001382	tetraploid		value_slim
PATO_0001383	pentaploid		value_slim
PATO_0001384	hexaploid		value_slim
PATO_0001385	aneuploid		value_slim
PATO_0001386	monosomy		value_slim
PATO_0001387	disomy		value_slim
PATO_0001388	uniparental disomy		value_slim
PATO_0001389	trisomy		value_slim
PATO_0001390	partial trisomy		value_slim
