term_id	surface_form	normalized_form	language	semantic_role	category	organ_context	definition	source_id	source_record_id	source_version	source_url	license	translation_group	target_id	target_label	target_namespace	mapping_relation	mapping_confidence	mapping_method	review_status	curator_orcid	mapping_date	component_ids	logical_operator	attribute_id	candidate_ids	candidate_labels	candidate_scores	corpus_frequency	evidence	notes
BTERM:fna_categories:3b3e2708b246b0	drupelet	drupelet	en	entity	structure			fna_categories	355c3900-0afb-4b22-b78f-4cf4819a5122	2013-07-29		not recorded					flopo:unmapped	0.3588	hybrid_candidate_retrieval	proposed						PO_0009001|PO_0009051|PO_0009038|PO_0006320|PO_0006309|PO_0009082|PO_0006349|PO_0006367|PO_0006311|PO_0006415	fruit|spikelet|palea|ear spikelet|tassel spikelet|spikelet floret|ear sessile spikelet|glume of ear spikelet|tassel sessile spikelet|pedicel of ear spikelet	0.3588|0.2760|0.2553|0.2467|0.2304|0.2304|0.2100|0.2067|0.2006|0.2006	0		
BTERM:fna_categories:3b5dc32b5a2cc9	xylem	xylem	en	entity	structure			fna_categories	0a3d08cf-6e16-4799-8471-2465020f5ed3	2013-07-29		not recorded		PO_0005352	xylem	PO	skos:exactMatch	0.99	ontology_primary_label_exact	auto						PO_0005352	xylem	0.9900	0		
BTERM:fna_categories:3b669d4a279667	disciform	disciform	en	quality	shape			fna_categories	132b44ab-4f84-427d-88f0-18582c1bc4c5	2013-07-29		not recorded					flopo:unmapped	0.3514	hybrid_candidate_retrieval	proposed						PATO_0002215|PATO_0001882|PATO_0002045|PATO_0000438|PATO_0002236|PATO_0000402|PATO_0001871|PATO_0002235|PATO_0002400|PATO_0000948	falciform|limaciform|dendritic|invariant|aliform|branched|reniform|blade-like|fusiform|heart shaped	0.3514|0.3296|0.3296|0.3200|0.3200|0.3095|0.3095|0.3095|0.3095|0.3000	0		
BTERM:fna_categories:3b6f349e7d83d5	lustrous	lustrous	en	quality	reflectance			fna_categories	25594cd9-b52f-4e1e-9e16-af9fa9c11a30	2013-07-29		not recorded					flopo:unmapped	0.3514	hybrid_candidate_retrieval	proposed						PATO_0001465|PATO_0000982|PATO_0000984|PATO_0002128|PATO_0001331|PATO_0002011|PATO_0002348|PATO_0000985|PATO_0002314|PATO_0002368	monstrous|permeable|porous|serous|odorous|neoplastic|ligneous|non-porous|ligamentous|nulliparous	0.3514|0.2956|0.2956|0.2956|0.2853|0.2760|0.2760|0.2600|0.2530|0.2530	0		
BTERM:fna_categories:3b7163d6d3a6e1	glomerulate	glomerulate	en	quality	architecture			fna_categories	30de4fa6-49a1-4189-8d8e-a2deb1e60b80	2013-07-29		not recorded					flopo:unmapped	0.2913	hybrid_candidate_retrieval	proposed						PATO_0001873|PATO_0001977|PATO_0002299|PATO_0002342|PATO_0000944|PATO_0001889|PATO_0001937|PATO_0001981|PATO_0002388|PATO_0002294	cylindrical|angular|tubular|cupulate|sharpness|scalloped|spatulate|auriculate|pedunculate|scrobiculate	0.2913|0.2913|0.2913|0.2913|0.2833|0.2833|0.2833|0.2760|0.2692|0.2630	0		
BTERM:fna_categories:3b71d75f708717	scalelike	scalelike	en	quality	shape			fna_categories	732d128c-d768-45f9-8ddd-95abf83d0ee8	2013-07-29		not recorded					flopo:unmapped	0.3296	hybrid_candidate_retrieval	proposed						PATO_0002520|PATO_0002253|PATO_0002482|PATO_0001804|PATO_0002235|PATO_0002459|PATO_0001873|PATO_0001947|PATO_0002210|PATO_0002219	scute-like|platelike|slit-like|scaly|blade-like|sepal-like|cylindrical|netted|bulbous|fan-shaped	0.3296|0.3000|0.3000|0.2956|0.2913|0.2913|0.2676|0.2676|0.2676|0.2676	0		
BTERM:fna_categories:3b91021384c140	stalked	stalked	en	quality	architecture			fna_categories	e1a0db55-bc0f-4d9b-9999-c8bc796bdef2	2013-07-29		not recorded					flopo:unmapped	0.3933	hybrid_candidate_retrieval	proposed						PATO_0002077|PATO_0001410|PATO_0001411|PATO_0002068|PATO_0001786|PATO_0002430|PATO_0002494	stacked|striated|structured|stratified|split|strap-shaped|distal orientation	0.3933|0.2853|0.2676|0.2676|0.2553|0.2530|0.2257	0		
BTERM:fna_categories:3ba06b37951dfd	narrowed	narrowed	en	quality	shape			fna_categories	30a42c4d-b78d-44e6-a1c4-54b2e551e001	2013-07-29		not recorded					flopo:unmapped	0.3933	hybrid_candidate_retrieval	proposed						PATO_0000599|PATO_0001948|PATO_0001881|PATO_0002276|PATO_0000619|PATO_0001495|PATO_0001850|PATO_0002217|PATO_0000633|PATO_0002505	decreased width|furrowed|arrow-shaped|barred|crowded|notched|scarred|nitrated|uncrowded|nucleated	0.3933|0.3640|0.2833|0.2467|0.2389|0.2389|0.2389|0.2320|0.2257|0.2257	1		
BTERM:fna_categories:3ba99c9cb268ad	obdeltate	obdeltate	en	quality	shape			fna_categories	24d98c89-fed2-4e82-bdd3-cde80f75a024	2013-07-29		not recorded					flopo:unmapped	0.3	hybrid_candidate_retrieval	proposed						PATO_0002213|PATO_0002330|PATO_0001980|PATO_0001881|PATO_0000502|PATO_0001912	obclavate|oblanceolate|digitate|arrow-shaped|delayed|physiological state	0.3000|0.2760|0.2676|0.2600|0.2553|0.2100	0		
BTERM:fna_categories:3bc83853f628f9	epinastic	epinastic	en	ambiguous	development			fna_categories	45f64ccc-5508-47d5-bd26-78bf9225a125	2013-07-29		not recorded		PATO_0000945	epinastic	PATO	skos:exactMatch	0.99	ontology_primary_label_exact	auto						PATO_0000945	epinastic	0.9900	0		
BTERM:fna_categories:3bd086d14db5f0	primary axis	primary axis	en	entity	structure			fna_categories	ba6fe4a7-28f8-4c17-93ab-e60f63bc465f	2013-07-29		not recorded		PO_0009047	stem	PO	skos:exactMatch	0.97	ontology_synonym_exact	auto						PO_0009047	stem	0.9700	0		
BTERM:fna_categories:3befbdcff5d511	basiscopic	basiscopic	en	quality	orientation			fna_categories	e1736166-4c19-493f-ba23-f2a46af226bf	2013-07-29		not recorded					flopo:unmapped	0.32	hybrid_candidate_retrieval	proposed						PATO_0002313|PATO_0002094|PATO_0002119|PATO_0002349|PATO_0001773|PATO_0001774	telescopic|basophilic|hydropic|basal to|monophasic|polyphasic	0.3200|0.2833|0.2600|0.2200|0.2100|0.2100	0		
BTERM:fna_categories:3bf04c842d0209	headless	headless	en	quality	architecture			fna_categories	9e6ae951-41d6-4ddb-94ed-6e85d3a17952	2013-07-29		not recorded					flopo:unmapped	0.32	hybrid_candidate_retrieval	proposed						PATO_0000453|PATO_0000048|PATO_0001208|PATO_0001862|PATO_0002201|PATO_0001330	glabrous|hardness|odorless|lack of fertility in offspring|handedness|flavourless	0.3200|0.2760|0.2760|0.2692|0.2600|0.2530	0		
