flopo_iri	flopo_num	label	signature	deprecated
http://purl.obolibrary.org/obo/FLOPO_0021475	21475	axil falciform	EQ|PO_0025224|PATO_0002215	0
http://purl.obolibrary.org/obo/FLOPO_0021476	21476	radicle parallel to	EQ|PO_0020031|PATO_0002272	0
http://purl.obolibrary.org/obo/FLOPO_0021477	21477	petiole oblate	EQ|PO_0020038|PATO_0000409	0
http://purl.obolibrary.org/obo/FLOPO_0021478	21478	disk flower areolate	EQ|PO_0025332|PATO_0002295	0
http://purl.obolibrary.org/obo/FLOPO_0021479	21479	rhizome drooping	EQ|PO_0004542|PATO_0002165	0
http://purl.obolibrary.org/obo/FLOPO_0021480	21480	root unicellular	EQ|PO_0009005|PATO_0001994	0
http://purl.obolibrary.org/obo/FLOPO_0021481	21481	root cellularity	EQ|PO_0009005|PATO_0001992	0
http://purl.obolibrary.org/obo/FLOPO_0021482	21482	nectary smooth	EQ|PO_0009035|PATO_0000701	0
http://purl.obolibrary.org/obo/FLOPO_0021483	21483	testa proximal to	EQ|PO_0020057|PATO_0001195	0
http://purl.obolibrary.org/obo/FLOPO_0021484	21484	lower glume fleshy	EQ|PO_0006002|PATO_0002351	0
http://purl.obolibrary.org/obo/FLOPO_0021485	21485	lamina swollen	EQ|PO_0025060|PATO_0001851	0
http://purl.obolibrary.org/obo/FLOPO_0021486	21486	bud medial to	EQ|PO_0000055|PATO_0001191	0
http://purl.obolibrary.org/obo/FLOPO_0021487	21487	leaf lilac	EQ|PO_0025034|PATO_0001943	0
http://purl.obolibrary.org/obo/FLOPO_0021488	21488	exocarp cylindrical	EQ|PO_0009085|PATO_0001873	0
http://purl.obolibrary.org/obo/FLOPO_0021489	21489	apical hook spotted	EQ|PO_0000012|PATO_0000333	0
http://purl.obolibrary.org/obo/FLOPO_0021490	21490	apical hook color pattern	EQ|PO_0000012|PATO_0000019	0
http://purl.obolibrary.org/obo/FLOPO_0021491	21491	stigma overlapped by	EQ|PO_0009073|PATO_0002489	0
http://purl.obolibrary.org/obo/FLOPO_0021492	21492	thorn split	EQ|PO_0025172|PATO_0001786	0
http://purl.obolibrary.org/obo/FLOPO_0021493	21493	placenta lobed	EQ|PO_0025078|PATO_0001979	0
http://purl.obolibrary.org/obo/FLOPO_0021494	21494	corm decayed	EQ|PO_0025355|PATO_0001432	0
http://purl.obolibrary.org/obo/FLOPO_0021495	21495	corm viability	EQ|PO_0025355|PATO_0000169	0
http://purl.obolibrary.org/obo/FLOPO_0021496	21496	shoot apex inflated	EQ|PO_0000037|PATO_0002376	0
http://purl.obolibrary.org/obo/FLOPO_0021497	21497	shoot apex structure, cavities	EQ|PO_0000037|PATO_0002014	0
http://purl.obolibrary.org/obo/FLOPO_0021498	21498	keel sterile	EQ|PO_0025327|PATO_0000956	0
http://purl.obolibrary.org/obo/FLOPO_0021499	21499	shoot apex up	OTHER	1
http://purl.obolibrary.org/obo/FLOPO_0021500	21500	shoot apex direction	EQ|PO_0000037|PATO_0000039	0
http://purl.obolibrary.org/obo/FLOPO_0021501	21501	testa fusiform	EQ|PO_0020057|PATO_0002400	0
http://purl.obolibrary.org/obo/FLOPO_0021502	21502	bud light green	EQ|PO_0000055|PATO_0001250	0
http://purl.obolibrary.org/obo/FLOPO_0021503	21503	epidermis curled	EQ|PO_0005679|PATO_0000405	0
http://purl.obolibrary.org/obo/FLOPO_0021504	21504	leaflet area	EQ|PO_0020049|PATO_0001323	0
http://purl.obolibrary.org/obo/FLOPO_0021505	21505	endosperm orbicular	EQ|PO_0009089|PATO_0001934	0
http://purl.obolibrary.org/obo/FLOPO_0021506	21506	lemma concentrated	EQ|PO_0009037|PATO_0001159	0
http://purl.obolibrary.org/obo/FLOPO_0021507	21507	lemma concentration of	EQ|PO_0009037|PATO_0000033	0
http://purl.obolibrary.org/obo/FLOPO_0021508	21508	leaf sheath pink	EQ|PO_0020104|PATO_0000954	0
http://purl.obolibrary.org/obo/FLOPO_0021509	21509	corolla pedunculate	EQ|PO_0009059|PATO_0002388	0
http://purl.obolibrary.org/obo/FLOPO_0021510	21510	heartwood linear	EQ|PO_0004512|PATO_0001199	0
http://purl.obolibrary.org/obo/FLOPO_0021511	21511	obsolete stomatal pore pubescent	OTHER	1
http://purl.obolibrary.org/obo/FLOPO_0021512	21512	stomatal pore maturity	EQ|PO_0008032|PATO_0000261	0
http://purl.obolibrary.org/obo/FLOPO_0021513	21513	calyx protruding into	EQ|PO_0009060|PATO_0001645	0
http://purl.obolibrary.org/obo/FLOPO_0021514	21514	axil whole	EQ|PO_0025224|PATO_0001446	0
http://purl.obolibrary.org/obo/FLOPO_0021515	21515	axil wholeness	EQ|PO_0025224|PATO_0001442	0
http://purl.obolibrary.org/obo/FLOPO_0021516	21516	perianth light red	EQ|PO_0009058|PATO_0001262	0
http://purl.obolibrary.org/obo/FLOPO_0021517	21517	connective inflated	EQ|PO_0009068|PATO_0002376	0
http://purl.obolibrary.org/obo/FLOPO_0021518	21518	stem unicellular	EQ|PO_0009047|PATO_0001994	0
http://purl.obolibrary.org/obo/FLOPO_0021519	21519	axillary bud meristem inflexible	EQ|PO_0000232|PATO_0001545	0
http://purl.obolibrary.org/obo/FLOPO_0021520	21520	axillary bud meristem flexibility	EQ|PO_0000232|PATO_0001543	0
http://purl.obolibrary.org/obo/FLOPO_0021521	21521	bud normal	EQ|PO_0000055|PATO_0000461	0
http://purl.obolibrary.org/obo/FLOPO_0021522	21522	bud deviation(from_normal)	EQ|PO_0000055|PATO_0000069	0
http://purl.obolibrary.org/obo/FLOPO_0021523	21523	flower granular	EQ|PO_0009046|PATO_0001759	0
http://purl.obolibrary.org/obo/FLOPO_0021524	21524	stem viscid	EQ|PO_0009047|PATO_0001370	0
http://purl.obolibrary.org/obo/FLOPO_0021525	21525	stem bronze	EQ|PO_0009047|PATO_0002363	0
http://purl.obolibrary.org/obo/FLOPO_0021526	21526	pericarp ornamented	EQ|PO_0009084|PATO_0002441	0
http://purl.obolibrary.org/obo/FLOPO_0021527	21527	short shoot attenuate	EQ|PO_0004701|PATO_0001982	0
http://purl.obolibrary.org/obo/FLOPO_0021528	21528	short shoot sharpness	EQ|PO_0004701|PATO_0000944	0
http://purl.obolibrary.org/obo/FLOPO_0021529	21529	epidermis adaxial to	EQ|PO_0005679|PATO_0002047	0
http://purl.obolibrary.org/obo/FLOPO_0021530	21530	leaf axil erect	EQ|PO_0009023|PATO_0000622	0
http://purl.obolibrary.org/obo/FLOPO_0021531	21531	stem radius	EQ|PO_0009047|PATO_0002390	0
http://purl.obolibrary.org/obo/FLOPO_0021532	21532	nectary glandular	EQ|PO_0009035|PATO_0002117	0
http://purl.obolibrary.org/obo/FLOPO_0021533	21533	nectary morphology	EQ|PO_0009035|PATO_0000051	0
http://purl.obolibrary.org/obo/FLOPO_0021534	21534	aril spindle-shaped	EQ|PO_0009090|PATO_0001409	0
http://purl.obolibrary.org/obo/FLOPO_0021535	21535	epidermis dentated	EQ|PO_0005679|PATO_0001205	0
http://purl.obolibrary.org/obo/FLOPO_0021536	21536	axil mass	EQ|PO_0025224|PATO_0000125	0
http://purl.obolibrary.org/obo/FLOPO_0021537	21537	petiole subrectangular	EQ|PO_0020038|PATO_0002229	0
