flopo_iri	label
http://purl.obolibrary.org/obo/FLOPO_0001111	flower fascicle phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0000220	flower female
http://purl.obolibrary.org/obo/FLOPO_0000256	flower hermaphrodite
http://purl.obolibrary.org/obo/FLOPO_0001632	flower male
http://purl.obolibrary.org/obo/FLOPO_0016807	flower occurrence
http://purl.obolibrary.org/obo/FLOPO_0012686	flower offset quality
http://purl.obolibrary.org/obo/FLOPO_0010455	flower onset quality
http://purl.obolibrary.org/obo/FLOPO_0000221	flower phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0010454	flower premature
http://purl.obolibrary.org/obo/FLOPO_0014148	flower subacute
http://purl.obolibrary.org/obo/FLOPO_0016806	flower synchronous
http://purl.obolibrary.org/obo/FLOPO_0002262	flower up
http://purl.obolibrary.org/obo/FLOPO_0011166	flower variability
http://purl.obolibrary.org/obo/FLOPO_0022847	free sepal male
http://purl.obolibrary.org/obo/FLOPO_0022848	free sepal phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0020621	free tepal female
http://purl.obolibrary.org/obo/FLOPO_0020622	free tepal phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0022508	free tepal up
http://purl.obolibrary.org/obo/FLOPO_0002954	fruit acute
http://purl.obolibrary.org/obo/FLOPO_0005124	fruit arrested
http://purl.obolibrary.org/obo/FLOPO_0016776	fruit continuous
http://purl.obolibrary.org/obo/FLOPO_0008841	fruit down
http://purl.obolibrary.org/obo/FLOPO_0002955	fruit duration
http://purl.obolibrary.org/obo/FLOPO_0002546	fruit female
http://purl.obolibrary.org/obo/FLOPO_0008129	fruit hermaphrodite
http://purl.obolibrary.org/obo/FLOPO_0002356	fruit male
http://purl.obolibrary.org/obo/FLOPO_0016777	fruit occurrence
http://purl.obolibrary.org/obo/FLOPO_0005125	fruit offset quality
http://purl.obolibrary.org/obo/FLOPO_0014155	fruit onset quality
http://purl.obolibrary.org/obo/FLOPO_0002357	fruit phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0014154	fruit premature
http://purl.obolibrary.org/obo/FLOPO_0009753	fruit subacute
http://purl.obolibrary.org/obo/FLOPO_0001311	fruit up
http://purl.obolibrary.org/obo/FLOPO_0007525	funicle up
http://purl.obolibrary.org/obo/FLOPO_0021390	gamete male
http://purl.obolibrary.org/obo/FLOPO_0021391	gamete phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0900061	glandular trichome present
http://purl.obolibrary.org/obo/FLOPO_0002420	glume acute
http://purl.obolibrary.org/obo/FLOPO_0002421	glume duration
http://purl.obolibrary.org/obo/FLOPO_0002326	glume female
http://purl.obolibrary.org/obo/FLOPO_0017943	glume hermaphrodite
http://purl.obolibrary.org/obo/FLOPO_0003841	glume male
http://purl.obolibrary.org/obo/FLOPO_0014632	glume onset quality
http://purl.obolibrary.org/obo/FLOPO_0002327	glume phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0014631	glume premature
http://purl.obolibrary.org/obo/FLOPO_0008641	glume subacute
http://purl.obolibrary.org/obo/FLOPO_0001846	glume up
http://purl.obolibrary.org/obo/FLOPO_0007714	gynoecium arrested
http://purl.obolibrary.org/obo/FLOPO_0007397	gynoecium female
http://purl.obolibrary.org/obo/FLOPO_0013582	gynoecium hermaphrodite
http://purl.obolibrary.org/obo/FLOPO_0018634	gynoecium male
http://purl.obolibrary.org/obo/FLOPO_0007715	gynoecium offset quality
http://purl.obolibrary.org/obo/FLOPO_0007398	gynoecium phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0022272	gynoecium up
http://purl.obolibrary.org/obo/FLOPO_0014916	gynophore continuous
http://purl.obolibrary.org/obo/FLOPO_0023624	gynophore male
http://purl.obolibrary.org/obo/FLOPO_0014917	gynophore occurrence
http://purl.obolibrary.org/obo/FLOPO_0023625	gynophore phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0003043	gynophore up
http://purl.obolibrary.org/obo/FLOPO_0013230	heartwood female
http://purl.obolibrary.org/obo/FLOPO_0013231	heartwood phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0012942	hilum onset quality
http://purl.obolibrary.org/obo/FLOPO_0012941	hilum premature
http://purl.obolibrary.org/obo/FLOPO_0008943	hilum up
http://purl.obolibrary.org/obo/FLOPO_0021837	hydathode acute
http://purl.obolibrary.org/obo/FLOPO_0021838	hydathode duration
http://purl.obolibrary.org/obo/FLOPO_0013643	hydathode occurrence
http://purl.obolibrary.org/obo/FLOPO_0013642	hydathode recurrent
http://purl.obolibrary.org/obo/FLOPO_0017509	hypanthium acute
http://purl.obolibrary.org/obo/FLOPO_0017930	hypanthium continuous
http://purl.obolibrary.org/obo/FLOPO_0017510	hypanthium duration
http://purl.obolibrary.org/obo/FLOPO_0023548	hypanthium female
http://purl.obolibrary.org/obo/FLOPO_0022981	hypanthium hermaphrodite
http://purl.obolibrary.org/obo/FLOPO_0015559	hypanthium male
http://purl.obolibrary.org/obo/FLOPO_0017931	hypanthium occurrence
http://purl.obolibrary.org/obo/FLOPO_0015560	hypanthium phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0021234	hypanthium subacute
http://purl.obolibrary.org/obo/FLOPO_0005935	hypanthium up
http://purl.obolibrary.org/obo/FLOPO_0020522	hypocotyl up
http://purl.obolibrary.org/obo/FLOPO_0002626	inflorescence acute
http://purl.obolibrary.org/obo/FLOPO_0018749	inflorescence area
http://purl.obolibrary.org/obo/FLOPO_0018536	inflorescence arrested
http://purl.obolibrary.org/obo/FLOPO_0011330	inflorescence articulated with
http://purl.obolibrary.org/obo/FLOPO_0013227	inflorescence associated with
http://purl.obolibrary.org/obo/FLOPO_0016982	inflorescence axis hermaphrodite
http://purl.obolibrary.org/obo/FLOPO_0022154	inflorescence axis male
http://purl.obolibrary.org/obo/FLOPO_0016983	inflorescence axis phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0009769	inflorescence axis up
http://purl.obolibrary.org/obo/FLOPO_0023643	inflorescence back
http://purl.obolibrary.org/obo/FLOPO_0002692	inflorescence cellularity
http://purl.obolibrary.org/obo/FLOPO_0018324	inflorescence continuous
http://purl.obolibrary.org/obo/FLOPO_0002364	inflorescence direction
http://purl.obolibrary.org/obo/FLOPO_0006321	inflorescence down
http://purl.obolibrary.org/obo/FLOPO_0002627	inflorescence duration
http://purl.obolibrary.org/obo/FLOPO_0004286	inflorescence female
http://purl.obolibrary.org/obo/FLOPO_0023667	inflorescence frequency
http://purl.obolibrary.org/obo/FLOPO_0002202	inflorescence hermaphrodite
http://purl.obolibrary.org/obo/FLOPO_0018911	inflorescence left
http://purl.obolibrary.org/obo/FLOPO_0002980	inflorescence male
http://purl.obolibrary.org/obo/FLOPO_0002691	inflorescence multicellular
http://purl.obolibrary.org/obo/FLOPO_0018166	inflorescence occurrence
http://purl.obolibrary.org/obo/FLOPO_0018537	inflorescence offset quality
http://purl.obolibrary.org/obo/FLOPO_0009421	inflorescence onset quality
http://purl.obolibrary.org/obo/FLOPO_0002203	inflorescence phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0009420	inflorescence premature
http://purl.obolibrary.org/obo/FLOPO_0000897	inflorescence pubescent
http://purl.obolibrary.org/obo/FLOPO_0018501	inflorescence right
http://purl.obolibrary.org/obo/FLOPO_0005692	inflorescence subacute
http://purl.obolibrary.org/obo/FLOPO_0018165	inflorescence synchronous
http://purl.obolibrary.org/obo/FLOPO_0023989	inflorescence unicellular
http://purl.obolibrary.org/obo/FLOPO_0002363	inflorescence up
http://purl.obolibrary.org/obo/FLOPO_0018427	inflorescence variability
http://purl.obolibrary.org/obo/FLOPO_0006447	infructescence acute
http://purl.obolibrary.org/obo/FLOPO_0006448	infructescence duration
http://purl.obolibrary.org/obo/FLOPO_0014132	infructescence female
http://purl.obolibrary.org/obo/FLOPO_0013487	infructescence male
http://purl.obolibrary.org/obo/FLOPO_0013488	infructescence phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0010596	infructescence subacute
http://purl.obolibrary.org/obo/FLOPO_0004614	infructescence up
http://purl.obolibrary.org/obo/FLOPO_0006087	involucre acute
http://purl.obolibrary.org/obo/FLOPO_0010541	involucre continuous
http://purl.obolibrary.org/obo/FLOPO_0014470	involucre down
http://purl.obolibrary.org/obo/FLOPO_0006088	involucre duration
http://purl.obolibrary.org/obo/FLOPO_0005123	involucre female
http://purl.obolibrary.org/obo/FLOPO_0000712	involucre hermaphrodite
http://purl.obolibrary.org/obo/FLOPO_0004453	involucre male
http://purl.obolibrary.org/obo/FLOPO_0010542	involucre occurrence
http://purl.obolibrary.org/obo/FLOPO_0016088	involucre onset quality
http://purl.obolibrary.org/obo/FLOPO_0000713	involucre phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0016087	involucre premature
http://purl.obolibrary.org/obo/FLOPO_0006578	involucre up
http://purl.obolibrary.org/obo/FLOPO_0002247	keel acute
