# curie_map:
#   BTERM: https://w3id.org/flopo/botanical-term/
#   PO: http://purl.obolibrary.org/obo/PO_
#   PATO: http://purl.obolibrary.org/obo/PATO_
#   FLOPO: http://purl.obolibrary.org/obo/FLOPO_
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	confidence	mapping_tool	mapping_source	comment
BTERM:flopo_value_axioms:a9dc4730f65942	slightly blue-green	skos:exactMatch	FLOPO_0980189	slightly blue-green	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	axiom_type=subclass
BTERM:flopo_value_axioms:ab35958d4fc590	reddish orange	skos:exactMatch	FLOPO_0980416	reddish orange	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	axiom_type=subclass
BTERM:flopo_value_axioms:b48d8e4f291712	banded and tessellated	skos:relatedMatch	PATO_0001946		semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	component_of_all_of:FLOPO_0980390; axiom_type=components
BTERM:flopo_value_axioms:b48d8e4f291712	banded and tessellated	skos:relatedMatch	PATO_0104307		semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	component_of_all_of:FLOPO_0980390; axiom_type=components
BTERM:flopo_value_axioms:cacb043ec92ba5	yellowish	skos:exactMatch	FLOPO_0980094	yellowish	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	axiom_type=subclass
BTERM:flopo_value_axioms:cb0de83c9bd489	yellow or reddish orange	skos:relatedMatch	PATO_0000324		semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	component_of_one_of:FLOPO_0980346; axiom_type=union
BTERM:flopo_value_axioms:cb0de83c9bd489	yellow or reddish orange	skos:relatedMatch	FLOPO_0980416		semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	component_of_one_of:FLOPO_0980346; axiom_type=union
BTERM:flopo_value_axioms:cdbe3e480c27fc	soft felted	skos:relatedMatch	PATO_0000387		semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	component_of_all_of:FLOPO_0980325; axiom_type=components
BTERM:flopo_value_axioms:cdbe3e480c27fc	soft felted	skos:relatedMatch	PATO_0104242		semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	component_of_all_of:FLOPO_0980325; axiom_type=components
BTERM:flopo_value_axioms:cfca7c155fdec0	red or yellow	skos:relatedMatch	PATO_0000322		semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	component_of_one_of:FLOPO_0980196; axiom_type=union
