flopo_id	flopo_iri	label	definition	parent_pato_ids	parent_pato_labels	frequency	quality_contexts	examples	candidate_id	axiom_type	logical_target_ids	sources
FLOPO_0980167	http://purl.obolibrary.org/obo/FLOPO_0980167	apricot-yellow	A botanical phenotype value denoting apricot-yellow, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): yellow.	PATO_0000324	yellow	2	flower color (2)	Euphorbia schimperi: apricot-yellow flowers || Rhynchosia malacophylla vergensad R. minima: apricot-yellow flowers	FLOPO_VALUE_apricot_yellow	subclass	PATO_0000324	""
FLOPO_0980169	http://purl.obolibrary.org/obo/FLOPO_0980169	fairly large	A botanical phenotype value denoting fairly large, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): increased size.	PATO_0000586	increased size	2	leaf size (2)	Ficus carica: fairly large dentate leaves || Hibiscus sp. aff. aponeurus: fairly large downy leaves	FLOPO_VALUE_fairly_large	subclass	PATO_0000586	""
FLOPO_0980171	http://purl.obolibrary.org/obo/FLOPO_0980171	slightly curved	A botanical phenotype value denoting slightly curved, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): curved.	PATO_0000406	curved	2	fruit shape (1)|fruit curvature (1)	Hippocrepis constricta: slightly curved pods || Hippocrepis sp. aff. ciliata: slightly curved pods	FLOPO_VALUE_slightly_curved	subclass	PATO_0000406	""
FLOPO_0980172	http://purl.obolibrary.org/obo/FLOPO_0980172	very large	A botanical phenotype value denoting very large, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): increased size.	PATO_0000586	increased size	2	calyx size (1)|leaf size (1)	Hyoscyamus pusillus: cupped in a very large calyx || Senecio hadiensis: very large glabrous leaves	FLOPO_VALUE_very_large	subclass	PATO_0000586	""
FLOPO_0980173	http://purl.obolibrary.org/obo/FLOPO_0980173	narrow flat	A composite botanical phenotype value denoting narrow flat, used in flora descriptions; its component qualities are decreased width, flat.	PATO_0000001	quality	2	leaf shape (2)	Linaria haelava: narrow flat leaves || Linaria simplex: narrow flat leaves	FLOPO_VALUE_narrow_flat	components	PATO_0000599|PATO_0000407	""
FLOPO_0980174	http://purl.obolibrary.org/obo/FLOPO_0980174	golden	A botanical phenotype value denoting golden, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): yellow.	PATO_0000324	yellow	2	flower color (1)|leaf color (1)	Lonicera etrusca: turning golden || Plectranthus arabicus: that dry a golden colour	FLOPO_VALUE_golden	subclass	PATO_0000324	""
FLOPO_0980175	http://purl.obolibrary.org/obo/FLOPO_0980175	pale lilac and white	A composite botanical phenotype value denoting pale lilac and white, used in flora descriptions; its component qualities are lilac, white.	PATO_0000001	quality	2	flower color (2)	Malcolmia chia: pale lilac and white flowers || Scutellaria arabica: pale lilac and white flowers	FLOPO_VALUE_pale_lilac_and_white	components	PATO_0001943|PATO_0000323	""
FLOPO_0980176	http://purl.obolibrary.org/obo/FLOPO_0980176	almost round	A botanical phenotype value denoting almost round, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): circular.	PATO_0000411	circular	2	leaf shape (2)	Mesembryanthemum nodiflorum: small almost round leaves || Senecio flavus: almost round dentate leaves	FLOPO_VALUE_almost_round	subclass	PATO_0000411	""
FLOPO_0980177	http://purl.obolibrary.org/obo/FLOPO_0980177	white flushed with lilac	A composite botanical phenotype value denoting white flushed with lilac, used in flora descriptions; its component qualities are white, lilac.	PATO_0000001	quality	2	flower color (2)	Misopates orontium: white flowers flushed with lilac || Silene sp. aff. burchellii: white flowers flushed with lilac	FLOPO_VALUE_white_flushed_with_lilac	components	PATO_0000323|PATO_0001943	""
FLOPO_0980179	http://purl.obolibrary.org/obo/FLOPO_0980179	pink and red	A composite botanical phenotype value denoting pink and red, used in flora descriptions; its component qualities are pink, red.	PATO_0000001	quality	2	sepal color (1)|fruit color (1)	Rumex vesicarius: pink and red sepals || Salvadora persica: juicy pink and red edible berries	FLOPO_VALUE_pink_and_red	components	PATO_0000954|PATO_0000322	""
