phenotype_class_iri	annotation_class_id	expression_sha256	supporting_assertion_count	canonical_expression_signature
https://w3id.org/flopo/annotation-class/FAC_0051350dc90ca37664edc84b241f8d06	FAC_0051350dc90ca37664edc84b241f8d06	0051350dc90ca37664edc84b241f8d0603d1eac190ea0b640183f0ef82860c9c	1	"{""bearer"":""http://purl.obolibrary.org/obo/PO_0020038"",""negated"":false,""phenotype_root"":""http://semanticscience.org/resource/SIO_010056"",""quality"":{""attribute"":""http://purl.obolibrary.org/obo/PATO_0000122"",""kind"":""numeric"",""lower_inclusive"":""1"",""unit"":""http://purl.obolibrary.org/obo/UO_0000015"",""upper_inclusive"":""25""},""season_restrictions"":[],""signature_version"":1}"
https://w3id.org/flopo/annotation-class/FAC_00569cf32e6e5cc546f6df55f3cf923d	FAC_00569cf32e6e5cc546f6df55f3cf923d	00569cf32e6e5cc546f6df55f3cf923d28f785a7f357ab47ca47aeaa4d0eb184	1	"{""bearer"":""http://purl.obolibrary.org/obo/PO_0009055"",""negated"":false,""phenotype_root"":""http://semanticscience.org/resource/SIO_010056"",""quality"":{""attribute"":""http://purl.obolibrary.org/obo/PATO_0000122"",""kind"":""numeric"",""lower_inclusive"":""11"",""unit"":""http://purl.obolibrary.org/obo/UO_0000016"",""upper_inclusive"":""18""},""season_restrictions"":[],""signature_version"":1}"
https://w3id.org/flopo/annotation-class/FAC_005708d5bc5405599366f73145c72d15	FAC_005708d5bc5405599366f73145c72d15	005708d5bc5405599366f73145c72d152d1c8ceb1c70cb6a8a503b79cda26f14	1	"{""bearer"":""http://purl.obolibrary.org/obo/PO_0009046"",""negated"":false,""phenotype_root"":""http://semanticscience.org/resource/SIO_010056"",""quality"":{""attribute"":""http://purl.obolibrary.org/obo/PATO_0000921"",""kind"":""numeric"",""lower_inclusive"":""8"",""unit"":""http://purl.obolibrary.org/obo/UO_0000016"",""upper_inclusive"":""12""},""season_restrictions"":[],""signature_version"":1}"
https://w3id.org/flopo/annotation-class/FAC_005d0a57bdb90e108f1dbf44170a5772	FAC_005d0a57bdb90e108f1dbf44170a5772	005d0a57bdb90e108f1dbf44170a5772023760e8df15a967549cd38b70536700	1	"{""bearer"":""http://purl.obolibrary.org/obo/PO_0020049"",""negated"":false,""phenotype_root"":""http://semanticscience.org/resource/SIO_010056"",""quality"":{""attribute"":""http://purl.obolibrary.org/obo/PATO_0000921"",""kind"":""numeric"",""lower_inclusive"":""3"",""unit"":""http://purl.obolibrary.org/obo/UO_0000015"",""upper_inclusive"":""10""},""season_restrictions"":[],""signature_version"":1}"
https://w3id.org/flopo/annotation-class/FAC_00603525a7f6366796ecd333548d8f9f	FAC_00603525a7f6366796ecd333548d8f9f	00603525a7f6366796ecd333548d8f9f0c5575dbfdae170b9722021c66373f34	1	"{""bearer"":""http://purl.obolibrary.org/obo/PO_0009053"",""negated"":false,""phenotype_root"":""http://semanticscience.org/resource/SIO_010056"",""quality"":{""attribute"":""http://purl.obolibrary.org/obo/PATO_0000122"",""kind"":""numeric"",""lower_inclusive"":""1"",""unit"":""http://purl.obolibrary.org/obo/UO_0000015"",""upper_inclusive"":""7""},""season_restrictions"":[],""signature_version"":1}"
https://w3id.org/flopo/annotation-class/FAC_0060f2074cca5cbaf3272d7d9f12029e	FAC_0060f2074cca5cbaf3272d7d9f12029e	0060f2074cca5cbaf3272d7d9f12029e9419401d3365702028dfdf3141b5e1b7	2	"{""bearer"":""http://purl.obolibrary.org/obo/PO_0000003"",""negated"":false,""phenotype_root"":""http://semanticscience.org/resource/SIO_010056"",""quality"":{""attribute"":""http://purl.obolibrary.org/obo/PATO_0000119"",""kind"":""numeric"",""lower_inclusive"":""4"",""unit"":""http://purl.obolibrary.org/obo/UO_0000008"",""upper_inclusive"":""25""},""season_restrictions"":[],""signature_version"":1}"
https://w3id.org/flopo/annotation-class/FAC_0061c3ddba2b9f5491f5a022aa96ee42	FAC_0061c3ddba2b9f5491f5a022aa96ee42	0061c3ddba2b9f5491f5a022aa96ee42bd41e77982d3aa87d3d91e9f08e9dbab	1	"{""bearer"":""http://purl.obolibrary.org/obo/PO_0000003"",""negated"":false,""phenotype_root"":""http://semanticscience.org/resource/SIO_010056"",""quality"":{""attribute"":""http://purl.obolibrary.org/obo/PATO_0000119"",""kind"":""numeric"",""lower_inclusive"":""25"",""unit"":""http://purl.obolibrary.org/obo/UO_0000008"",""upper_inclusive"":""55""},""season_restrictions"":[],""signature_version"":1}"
https://w3id.org/flopo/annotation-class/FAC_00634ee374ad5fa2c277d7a3c2db2e41	FAC_00634ee374ad5fa2c277d7a3c2db2e41	00634ee374ad5fa2c277d7a3c2db2e41eb2c8aa72a3bbb26317d304c80d6050b	43	"{""bearer"":""http://purl.obolibrary.org/obo/PO_0009058"",""negated"":false,""phenotype_root"":""http://semanticscience.org/resource/SIO_010056"",""quality"":{""kind"":""atomic"",""terms"":[""http://purl.obolibrary.org/obo/PATO_0000947""]},""season_restrictions"":[],""signature_version"":1}"
https://w3id.org/flopo/annotation-class/FAC_006644a08d9ce2c52f6f98fb33a8baac	FAC_006644a08d9ce2c52f6f98fb33a8baac	006644a08d9ce2c52f6f98fb33a8baac1081c4f753de7ecad847851f33a508dc	1	"{""bearer"":""http://purl.obolibrary.org/obo/PO_0009047"",""negated"":false,""phenotype_root"":""http://semanticscience.org/resource/SIO_010056"",""quality"":{""attribute"":""http://purl.obolibrary.org/obo/PATO_0000122"",""kind"":""numeric"",""lower_inclusive"":""2"",""unit"":""http://purl.obolibrary.org/obo/UO_0000015"",""upper_inclusive"":""10""},""season_restrictions"":[],""signature_version"":1}"
https://w3id.org/flopo/annotation-class/FAC_006aa2d1118610e901b2804ef51b0b13	FAC_006aa2d1118610e901b2804ef51b0b13	006aa2d1118610e901b2804ef51b0b1365c0f1ecce3e01c1d078059c93d107ee	2	"{""bearer"":""http://purl.obolibrary.org/obo/PO_0009031"",""negated"":false,""phenotype_root"":""http://semanticscience.org/resource/SIO_010056"",""quality"":{""attribute"":""http://purl.obolibrary.org/obo/PATO_0000122"",""kind"":""numeric"",""lower_inclusive"":""1"",""unit"":""http://purl.obolibrary.org/obo/UO_0000015"",""upper_inclusive"":""1.5""},""season_restrictions"":[],""signature_version"":1}"
