flopo_id	label	signature	bearer_po_id	category	new_parent	classification_method	review_status
FLOPO_0002837	terminal bud phenotype	PHENO|PO_0004713	PO:0004713	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0002904	seed coat phenotype	PHENO|PO_0009088	PO:0009088	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0002994	plumule phenotype	PHENO|PO_0020032	PO:0020032	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0003042	gynophore phenotype	PHENO|PO_0006330	PO:0006330	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0003099	radicle phenotype	PHENO|PO_0020031	PO:0020031	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0003216	inflorescence axis phenotype	PHENO|PO_0020122	PO:0020122	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0003241	hydathode phenotype	PHENO|PO_0005660	PO:0005660	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0003261	heartwood phenotype	PHENO|PO_0004512	PO:0004512	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0003281	infructescence phenotype	PHENO|PO_0006342	PO:0006342	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0003336	pollen phenotype	PHENO|PO_0025281	PO:0025281	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0003346	inflorescence bract phenotype	PHENO|PO_0009054	PO:0009054	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0003413	pseudostem phenotype	PHENO|PO_0025248	PO:0025248	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0003416	leaf sheath phenotype	PHENO|PO_0020104	PO:0020104	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0003455	stipel phenotype	PHENO|PO_0020051	PO:0020051	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0003712	pith phenotype	PHENO|PO_0006109	PO:0006109	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0003772	leaf rachis phenotype	PHENO|PO_0020055	PO:0020055	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0003834	gynoecium phenotype	PHENO|PO_0009062	PO:0009062	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0003905	exotesta phenotype	PHENO|PO_0006050	PO:0006050	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0003919	leaf margin phenotype	PHENO|PO_0020128	PO:0020128	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0004152	leaf base phenotype	PHENO|PO_0020040	PO:0020040	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0004241	plant cuticle phenotype	PHENO|PO_0000022	PO:0000022	plant_substance	FLOPO_0900047	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0004356	fertile lemma phenotype	PHENO|PO_0009041	PO:0009041	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0004402	parenchyma phenotype	PHENO|PO_0005421	PO:0005421	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0004423	sporangium phenotype	PHENO|PO_0025094	PO:0025094	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0004468	protonema sub-apical initial cell phenotype	PHENO|PO_0030086	PO:0030086	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0004578	plant spore phenotype	PHENO|PO_0025017	PO:0025017	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0004600	tuberous root phenotype	PHENO|PO_0025523	PO:0025523	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0004638	primary parietal cell phenotype	PHENO|PO_0006010	PO:0006010	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0004652	endotesta phenotype	PHENO|PO_0006051	PO:0006051	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0004802	sclerenchyma phenotype	PHENO|PO_0005427	PO:0005427	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0005104	lodicule phenotype	PHENO|PO_0009036	PO:0009036	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0005201	strobilus phenotype	PHENO|PO_0025083	PO:0025083	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0005345	resin canal phenotype	PHENO|PO_0005665	PO:0005665	anatomical_space	FLOPO_0017857	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0005363	vascular system phenotype	PHENO|PO_0000034	PO:0000034	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0005597	root-borne shoot system phenotype	PHENO|PO_0004544	PO:0004544	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0005613	axillary bud phenotype	PHENO|PO_0004709	PO:0004709	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
